Date,Ridge_mm,ARIMA_mm,Prophet_mm,Ensemble_avg_mm
2017-12-23,5.134,5.194,,5.164
2017-12-24,5.49,5.329,,5.409
2017-12-25,5.458,5.565,,5.512
2017-12-26,6.104,5.709,,5.906
2017-12-27,6.151,5.928,,6.04
2017-12-28,6.319,6.078,,6.198
2017-12-29,6.62,6.283,,6.452
2017-12-30,6.655,6.436,,6.546
2017-12-31,6.925,6.63,,6.778
2018-01-01,7.45,6.784,,7.117
2018-01-02,7.322,6.968,,7.145
2018-01-03,7.241,7.123,,7.182
2018-01-04,7.615,7.298,,7.456
2018-01-05,7.703,7.452,,7.578
2018-01-06,7.741,7.621,,7.681
2018-01-07,7.974,7.772,,7.873
2018-01-08,8.274,7.935,,8.104
2018-01-09,8.464,8.084,,8.274
2018-01-10,8.796,8.241,,8.518
2018-01-11,8.923,8.388,,8.656
2018-01-12,9.025,8.54,,8.782
2018-01-13,9.251,8.683,,8.967
2018-01-14,9.47,8.83,,9.15
2018-01-15,9.722,8.971,,9.346
2018-01-16,9.901,9.114,,9.508
2018-01-17,9.907,9.251,,9.579
2018-01-18,9.986,9.39,,9.688
2018-01-19,10.142,9.524,,9.833
2018-01-20,10.286,9.659,,9.972
2018-01-21,10.45,9.79,,10.12
